County,Date,Hour,Predicted
Smith,2/1/2016,11,176.89
Smith,2/1/2016,12,176.56
Smith,2/1/2016,13,175.94
Smith,2/1/2016,14,176.86
Smith,2/1/2016,15,179.74
Smith,2/1/2016,16,177.08
Smith,2/1/2016,17,177.90
Smith,2/1/2016,18,175.52
Smith,2/1/2016,19,187.37
Smith,2/1/2016,20,189.35
Smith,2/1/2016,21,183.66
Smith,2/1/2016,22,166.24
Smith,2/1/2016,23,154.70
Smith,2/1/2016,24,147.34
Trinity,2/1/2016,1,8.39
Trinity,2/1/2016,2,8.17
Trinity,2/1/2016,3,7.92
Trinity,2/1/2016,4,8.29
Trinity,2/1/2016,5,8.59
Trinity,2/1/2016,6,9.06
Trinity,2/1/2016,7,10.59
Trinity,2/1/2016,8,11.22
Trinity,2/1/2016,9,10.89
Trinity,2/1/2016,10,11.60
Trinity,2/1/2016,11,11.50
Trinity,2/1/2016,12,11.48
Trinity,2/1/2016,13,11.44
Trinity,2/1/2016,14,11.50
Trinity,2/1/2016,15,11.68
Trinity,2/1/2016,16,11.51
Trinity,2/1/2016,17,11.56
Trinity,2/1/2016,18,11.41
Trinity,2/1/2016,19,12.18
Trinity,2/1/2016,20,12.31
Trinity,2/1/2016,21,11.94
Trinity,2/1/2016,22,10.81
Trinity,2/1/2016,23,10.06
Trinity,2/1/2016,24,9.58
San Jacinto,2/1/2016,1,15.98
San Jacinto,2/1/2016,2,15.57
San Jacinto,2/1/2016,3,15.08
San Jacinto,2/1/2016,4,15.78
San Jacinto,2/1/2016,5,16.36
San Jacinto,2/1/2016,6,17.27
San Jacinto,2/1/2016,7,20.17
San Jacinto,2/1/2016,8,21.38
San Jacinto,2/1/2016,9,20.74
San Jacinto,2/1/2016,10,22.09
San Jacinto,2/1/2016,11,21.90
San Jacinto,2/1/2016,12,21.86
San Jacinto,2/1/2016,13,21.79
San Jacinto,2/1/2016,14,21.90
San Jacinto,2/1/2016,15,22.26
San Jacinto,2/1/2016,16,21.93
San Jacinto,2/1/2016,17,22.03
San Jacinto,2/1/2016,18,21.73
San Jacinto,2/1/2016,19,23.20
San Jacinto,2/1/2016,20,23.45
San Jacinto,2/1/2016,21,22.74
San Jacinto,2/1/2016,22,20.59
San Jacinto,2/1/2016,23,19.16
San Jacinto,2/1/2016,24,18.24
Delta,2/1/2016,1,3.09
Delta,2/1/2016,2,3.01
Delta,2/1/2016,3,2.92
Delta,2/1/2016,4,3.05
Delta,2/1/2016,5,3.16
Delta,2/1/2016,6,3.34
Delta,2/1/2016,7,3.90
Delta,2/1/2016,8,4.13
Delta,2/1/2016,9,4.01
Delta,2/1/2016,10,4.27
Delta,2/1/2016,11,4.23
Delta,2/1/2016,12,4.23
Delta,2/1/2016,13,4.21
Delta,2/1/2016,14,4.23
Delta,2/1/2016,15,4.30
Delta,2/1/2016,16,4.24
Delta,2/1/2016,17,4.26
Delta,2/1/2016,18,4.20
Delta,2/1/2016,19,4.48
Delta,2/1/2016,20,4.53
Delta,2/1/2016,21,4.40
Delta,2/1/2016,22,3.98
Delta,2/1/2016,23,3.70
Delta,2/1/2016,24,3.53
Madison,2/1/2016,1,8.18
Madison,2/1/2016,2,7.96
Madison,2/1/2016,3,7.71
Madison,2/1/2016,4,8.07
Madison,2/1/2016,5,8.37
Madison,2/1/2016,6,8.83
Madison,2/1/2016,7,10.32
Madison,2/1/2016,8,10.94
Madison,2/1/2016,9,10.61
Madison,2/1/2016,10,11.30
Madison,2/1/2016,11,11.20
Madison,2/1/2016,12,11.18
Madison,2/1/2016,13,11.14
Madison,2/1/2016,14,11.20
Madison,2/1/2016,15,11.38
Madison,2/1/2016,16,11.22
Madison,2/1/2016,17,11.27
Madison,2/1/2016,18,11.12
Madison,2/1/2016,19,11.87
Madison,2/1/2016,20,11.99
Madison,2/1/2016,21,11.63
Madison,2/1/2016,22,10.53
Madison,2/1/2016,23,9.80
Madison,2/1/2016,24,9.33
Henderson,2/1/2016,1,46.77
Henderson,2/1/2016,2,45.55
Henderson,2/1/2016,3,44.13
Henderson,2/1/2016,4,46.18
Henderson,2/1/2016,5,47.86
Henderson,2/1/2016,6,50.52
Henderson,2/1/2016,7,59.02
Henderson,2/1/2016,8,62.56
Henderson,2/1/2016,9,60.69
Henderson,2/1/2016,10,64.64
Henderson,2/1/2016,11,64.09
Henderson,2/1/2016,12,63.97
Henderson,2/1/2016,13,63.75
Henderson,2/1/2016,14,64.08
Henderson,2/1/2016,15,65.12
Henderson,2/1/2016,16,64.16
Henderson,2/1/2016,17,64.46
Henderson,2/1/2016,18,63.59
Henderson,2/1/2016,19,67.89
Henderson,2/1/2016,20,68.61
Henderson,2/1/2016,21,66.54
Henderson,2/1/2016,22,60.23
Henderson,2/1/2016,23,56.05
Henderson,2/1/2016,24,53.38
Walker,2/1/2016,1,41.17
Walker,2/1/2016,2,40.10
Walker,2/1/2016,3,38.84
Walker,2/1/2016,4,40.65
Walker,2/1/2016,5,42.12
Walker,2/1/2016,6,44.47
Walker,2/1/2016,7,51.95
Walker,2/1/2016,8,55.06
Walker,2/1/2016,9,53.42
Walker,2/1/2016,10,56.90
Walker,2/1/2016,11,56.41
Walker,2/1/2016,12,56.30
Walker,2/1/2016,13,56.11
Walker,2/1/2016,14,56.40
Walker,2/1/2016,15,57.32
Walker,2/1/2016,16,56.47
Walker,2/1/2016,17,56.73
Walker,2/1/2016,18,55.97
Walker,2/1/2016,19,59.75
Walker,2/1/2016,20,60.39
Walker,2/1/2016,21,58.57
Walker,2/1/2016,22,53.01
Walker,2/1/2016,23,49.33
Walker,2/1/2016,24,46.99
Angelina,2/1/2016,1,51.76
Angelina,2/1/2016,2,50.42
Angelina,2/1/2016,3,48.84
Angelina,2/1/2016,4,51.11
Angelina,2/1/2016,5,52.97
Angelina,2/1/2016,6,55.91
Angelina,2/1/2016,7,65.32
Angelina,2/1/2016,8,69.24
Angelina,2/1/2016,9,67.17
Angelina,2/1/2016,10,71.54
Angelina,2/1/2016,11,70.93
Angelina,2/1/2016,12,70.79
Angelina,2/1/2016,13,70.55
Angelina,2/1/2016,14,70.92
Angelina,2/1/2016,15,72.07
Angelina,2/1/2016,16,71.01
Angelina,2/1/2016,17,71.33
Angelina,2/1/2016,18,70.38
Angelina,2/1/2016,19,75.13
Angelina,2/1/2016,20,75.93
Angelina,2/1/2016,21,73.64
Angelina,2/1/2016,22,66.66
Angelina,2/1/2016,23,62.03
Angelina,2/1/2016,24,59.08
Hopkins,2/1/2016,1,21.19
Hopkins,2/1/2016,2,20.64
Hopkins,2/1/2016,3,19.99
Hopkins,2/1/2016,4,20.92
Hopkins,2/1/2016,5,21.68
Hopkins,2/1/2016,6,22.89
Hopkins,2/1/2016,7,26.74
Hopkins,2/1/2016,8,28.34
Hopkins,2/1/2016,9,27.50
Hopkins,2/1/2016,10,29.29
Hopkins,2/1/2016,11,29.03
Hopkins,2/1/2016,12,28.98
Hopkins,2/1/2016,13,28.88
Hopkins,2/1/2016,14,29.03
Hopkins,2/1/2016,15,29.50
Hopkins,2/1/2016,16,29.07
Hopkins,2/1/2016,17,29.20
Hopkins,2/1/2016,18,28.81
Hopkins,2/1/2016,19,30.76
Hopkins,2/1/2016,20,31.08
Hopkins,2/1/2016,21,30.15
Hopkins,2/1/2016,22,27.29
Hopkins,2/1/2016,23,25.39
Hopkins,2/1/2016,24,24.18
Gregg,2/1/2016,1,72.67
Gregg,2/1/2016,2,70.78
Gregg,2/1/2016,3,68.57
Gregg,2/1/2016,4,71.76
Gregg,2/1/2016,5,74.36
Gregg,2/1/2016,6,78.51
Gregg,2/1/2016,7,91.71
Gregg,2/1/2016,8,97.21
Gregg,2/1/2016,9,94.30
Gregg,2/1/2016,10,100.44
Gregg,2/1/2016,11,99.58
Gregg,2/1/2016,12,99.40
Gregg,2/1/2016,13,99.05
Gregg,2/1/2016,14,99.57
Gregg,2/1/2016,15,101.19
Gregg,2/1/2016,16,99.70
Gregg,2/1/2016,17,100.16
Gregg,2/1/2016,18,98.81
Gregg,2/1/2016,19,105.49
Gregg,2/1/2016,20,106.60
Gregg,2/1/2016,21,103.40
Gregg,2/1/2016,22,93.59
Gregg,2/1/2016,23,87.09
Gregg,2/1/2016,24,82.95
Rains,2/1/2016,1,6.51
Rains,2/1/2016,2,6.34
Rains,2/1/2016,3,6.14
Rains,2/1/2016,4,6.43
Rains,2/1/2016,5,6.66
Rains,2/1/2016,6,7.03
Rains,2/1/2016,7,8.21
Rains,2/1/2016,8,8.70
Rains,2/1/2016,9,8.44
Rains,2/1/2016,10,8.99
Rains,2/1/2016,11,8.92
Rains,2/1/2016,12,8.90
Rains,2/1/2016,13,8.87
Rains,2/1/2016,14,8.92
Rains,2/1/2016,15,9.06
Rains,2/1/2016,16,8.93
Rains,2/1/2016,17,8.97
Rains,2/1/2016,18,8.85
Rains,2/1/2016,19,9.45
Rains,2/1/2016,20,9.55
Rains,2/1/2016,21,9.26
Rains,2/1/2016,22,8.38
Rains,2/1/2016,23,7.80
Rains,2/1/2016,24,7.43
Grimes,2/1/2016,1,16.03
Grimes,2/1/2016,2,15.61
Grimes,2/1/2016,3,15.12
Grimes,2/1/2016,4,15.83
Grimes,2/1/2016,5,16.40
Grimes,2/1/2016,6,17.31
Grimes,2/1/2016,7,20.23
Grimes,2/1/2016,8,21.44
Grimes,2/1/2016,9,20.80
Grimes,2/1/2016,10,22.15
Grimes,2/1/2016,11,21.96
Grimes,2/1/2016,12,21.92
Grimes,2/1/2016,13,21.85
Grimes,2/1/2016,14,21.96
Grimes,2/1/2016,15,22.32
Grimes,2/1/2016,16,21.99
Grimes,2/1/2016,17,22.09
Grimes,2/1/2016,18,21.79
Grimes,2/1/2016,19,23.26
Grimes,2/1/2016,20,23.51
Grimes,2/1/2016,21,22.80
Grimes,2/1/2016,22,20.64
Grimes,2/1/2016,23,19.21
Grimes,2/1/2016,24,18.29
Titus,2/1/2016,1,19.17
Titus,2/1/2016,2,18.68
Titus,2/1/2016,3,18.09
Titus,2/1/2016,4,18.93
Titus,2/1/2016,5,19.62
Titus,2/1/2016,6,20.71
Titus,2/1/2016,7,24.20
Titus,2/1/2016,8,25.65
Titus,2/1/2016,9,24.88
Titus,2/1/2016,10,26.50
Titus,2/1/2016,11,26.27
Titus,2/1/2016,12,26.22
Titus,2/1/2016,13,26.13
Titus,2/1/2016,14,26.27
Titus,2/1/2016,15,26.70
Titus,2/1/2016,16,26.30
Titus,2/1/2016,17,26.43
Titus,2/1/2016,18,26.07
Titus,2/1/2016,19,27.83
Titus,2/1/2016,20,28.13
Titus,2/1/2016,21,27.28
Titus,2/1/2016,22,24.69
Titus,2/1/2016,23,22.98
Titus,2/1/2016,24,21.88
Leon,2/1/2016,1,9.95
Leon,2/1/2016,2,9.69
Leon,2/1/2016,3,9.38
Leon,2/1/2016,4,9.82
Leon,2/1/2016,5,10.18
Leon,2/1/2016,6,10.74
Leon,2/1/2016,7,12.55
Leon,2/1/2016,8,13.30
Leon,2/1/2016,9,12.91
Leon,2/1/2016,10,13.75
Leon,2/1/2016,11,13.63
Leon,2/1/2016,12,13.60
Leon,2/1/2016,13,13.56
Leon,2/1/2016,14,13.63
Leon,2/1/2016,15,13.85
Leon,2/1/2016,16,13.64
Leon,2/1/2016,17,13.71
Leon,2/1/2016,18,13.52
Leon,2/1/2016,19,14.44
Leon,2/1/2016,20,14.59
Leon,2/1/2016,21,14.15
Leon,2/1/2016,22,12.81
Leon,2/1/2016,23,11.92
Leon,2/1/2016,24,11.35
Houston,2/1/2016,1,13.41
Houston,2/1/2016,2,13.07
Houston,2/1/2016,3,12.66
Houston,2/1/2016,4,13.25
Houston,2/1/2016,5,13.73
Houston,2/1/2016,6,14.49
Houston,2/1/2016,7,16.93
Houston,2/1/2016,8,17.94
Houston,2/1/2016,9,17.41
Houston,2/1/2016,10,18.54
Houston,2/1/2016,11,18.38
Houston,2/1/2016,12,18.35
Houston,2/1/2016,13,18.28
Houston,2/1/2016,14,18.38
Houston,2/1/2016,15,18.68
Houston,2/1/2016,16,18.40
Houston,2/1/2016,17,18.49
Houston,2/1/2016,18,18.24
Houston,2/1/2016,19,19.47
Houston,2/1/2016,20,19.68
Houston,2/1/2016,21,19.09
Houston,2/1/2016,22,17.27
Houston,2/1/2016,23,16.08
Houston,2/1/2016,24,15.31
Nacogdoches,2/1/2016,1,38.52
Nacogdoches,2/1/2016,2,37.52
Nacogdoches,2/1/2016,3,36.34
Nacogdoches,2/1/2016,4,38.04
Nacogdoches,2/1/2016,5,39.42
Nacogdoches,2/1/2016,6,41.61
Nacogdoches,2/1/2016,7,48.61
Nacogdoches,2/1/2016,8,51.52
Nacogdoches,2/1/2016,9,49.98
Nacogdoches,2/1/2016,10,53.24
Nacogdoches,2/1/2016,11,52.78
Nacogdoches,2/1/2016,12,52.68
Nacogdoches,2/1/2016,13,52.50
Nacogdoches,2/1/2016,14,52.77
Nacogdoches,2/1/2016,15,53.63
Nacogdoches,2/1/2016,16,52.84
Nacogdoches,2/1/2016,17,53.09
Nacogdoches,2/1/2016,18,52.37
Nacogdoches,2/1/2016,19,55.91
Nacogdoches,2/1/2016,20,56.50
Nacogdoches,2/1/2016,21,54.80
Nacogdoches,2/1/2016,22,49.61
Nacogdoches,2/1/2016,23,46.16
Nacogdoches,2/1/2016,24,43.96
Franklin,2/1/2016,1,6.25
Franklin,2/1/2016,2,6.09
Franklin,2/1/2016,3,5.90
Franklin,2/1/2016,4,6.17
Franklin,2/1/2016,5,6.40
Franklin,2/1/2016,6,6.75
Franklin,2/1/2016,7,7.89
Franklin,2/1/2016,8,8.36
Franklin,2/1/2016,9,8.11
Franklin,2/1/2016,10,8.64
Franklin,2/1/2016,11,8.57
Franklin,2/1/2016,12,8.55
Franklin,2/1/2016,13,8.52
Franklin,2/1/2016,14,8.57
Franklin,2/1/2016,15,8.71
Franklin,2/1/2016,16,8.58
Franklin,2/1/2016,17,8.62
Franklin,2/1/2016,18,8.50
Franklin,2/1/2016,19,9.08
Franklin,2/1/2016,20,9.17
Franklin,2/1/2016,21,8.90
Franklin,2/1/2016,22,8.05
Franklin,2/1/2016,23,7.49
Franklin,2/1/2016,24,7.14
Wood,2/1/2016,1,25.28
Wood,2/1/2016,2,24.62
Wood,2/1/2016,3,23.85
Wood,2/1/2016,4,24.96
Wood,2/1/2016,5,25.87
Wood,2/1/2016,6,27.31
Wood,2/1/2016,7,31.90
Wood,2/1/2016,8,33.81
Wood,2/1/2016,9,32.80
Wood,2/1/2016,10,34.94
Wood,2/1/2016,11,34.64
Wood,2/1/2016,12,34.57
Wood,2/1/2016,13,34.45
Wood,2/1/2016,14,34.63
Wood,2/1/2016,15,35.20
Wood,2/1/2016,16,34.68
Wood,2/1/2016,17,34.84
Wood,2/1/2016,18,34.37
Wood,2/1/2016,19,36.69
Wood,2/1/2016,20,37.08
Wood,2/1/2016,21,35.96
Wood,2/1/2016,22,32.55
Wood,2/1/2016,23,30.29
Wood,2/1/2016,24,28.85
Cherokee,2/1/2016,1,30.03
Cherokee,2/1/2016,2,29.24
