County,Date,Predicted
Tom Green,12/2/2015,5170.61
Travis,12/2/2015,34736.48
Trinity,12/2/2015,300.82
Tyler,12/2/2015,452.97
Upton,12/2/2015,358.82
Uvalde,12/2/2015,1202.44
Val Verde,12/2/2015,2171.61
Van Zandt,12/2/2015,1119.01
Victoria,12/2/2015,3174.12
Walker,12/2/2015,1476.00
Waller,12/2/2015,1631.64
Ward,12/2/2015,1207.69
Washington,12/2/2015,1039.21
Webb,12/2/2015,7538.13
Wharton,12/2/2015,1434.68
Wheeler,12/2/2015,101.95
Wichita,12/2/2015,2361.85
Wilbarger,12/2/2015,231.50
Willacy,12/2/2015,619.12
Williamson,12/2/2015,14763.41
Wilson,12/2/2015,1400.22
Winkler,12/2/2015,812.50
Wise,12/2/2015,2175.83
Wood,12/2/2015,906.29
Young,12/2/2015,647.76
Zapata,12/2/2015,404.75
Zavala,12/2/2015,346.78
Anderson,12/3/2015,1225.10
Andrews,12/3/2015,1784.80
Angelina,12/3/2015,1865.46
Aransas,12/3/2015,711.30
Archer,12/3/2015,151.62
Armstrong,12/3/2015,33.65
Atascosa,12/3/2015,1360.78
Austin,12/3/2015,939.11
Bandera,12/3/2015,673.89
Bastrop,12/3/2015,2518.21
Baylor,12/3/2015,61.83
Bee,12/3/2015,936.06
Bell,12/3/2015,11224.03
Bexar,12/3/2015,59863.13
Blanco,12/3/2015,348.73
Borden,12/3/2015,66.59
Bosque,12/3/2015,606.32
Bowie,12/3/2015,1605.26
Brazoria,12/3/2015,11950.13
Brazos,12/3/2015,4446.35
Brewster,12/3/2015,936.77
Briscoe,12/3/2015,26.42
Brooks,12/3/2015,204.91
Brown,12/3/2015,1284.00
Burleson,12/3/2015,556.50
Burnet,12/3/2015,1449.70
Caldwell,12/3/2015,1284.11
Calhoun,12/3/2015,770.38
Callahan,12/3/2015,617.02
Cameron,12/3/2015,11974.46
Carson,12/3/2015,103.50
Castro,12/3/2015,133.89
Chambers,12/3/2015,1348.14
Cherokee,12/3/2015,1082.12
Childress,12/3/2015,122.00
Clay,12/3/2015,178.48
Coke,12/3/2015,148.57
Coleman,12/3/2015,384.93
Collin,12/3/2015,30187.63
Collingsworth,12/3/2015,51.93
Colorado,12/3/2015,668.32
Comal,12/3/2015,3989.88
Comanche,12/3/2015,462.08
Concho,12/3/2015,184.91
Cooke,12/3/2015,667.11
Coryell,12/3/2015,2576.76
Cottle,12/3/2015,24.34
Crane,12/3/2015,505.51
Crockett,12/3/2015,389.30
Crosby,12/3/2015,101.50
Culberson,12/3/2015,231.39
Dallas,12/3/2015,85888.24
Dawson,12/3/2015,1365.60
DeWitt,12/3/2015,667.19
Deaf Smith,12/3/2015,330.33
Delta,12/3/2015,111.38
Denton,12/3/2015,25690.46
Dickens,12/3/2015,38.19
Dimmit,12/3/2015,315.86
Duval,12/3/2015,328.51
Eastland,12/3/2015,619.82
Ector,12/3/2015,15717.01
Edwards,12/3/2015,85.78
Ellis,12/3/2015,28422.79
Erath,12/3/2015,1369.05
Falls,12/3/2015,579.34
Fannin,12/3/2015,580.87
Fayette,12/3/2015,801.01
Fisher,12/3/2015,174.92
Floyd,12/3/2015,102.40
Foard,12/3/2015,21.95
Fort Bend,12/3/2015,24221.83
Franklin,12/3/2015,225.36
Freestone,12/3/2015,420.15
Frio,12/3/2015,527.84
Galveston,12/3/2015,11104.54
Garza,12/3/2015,110.76
Gillespie,12/3/2015,1165.24
Glasscock,12/3/2015,131.85
Goliad,12/3/2015,215.04
Gonzales,12/3/2015,660.00
Gray,12/3/2015,396.60
Grayson,12/3/2015,2126.02
Gregg,12/3/2015,2619.19
Grimes,12/3/2015,577.64
Guadalupe,12/3/2015,4749.73
Hale,12/3/2015,597.52
Hall,12/3/2015,54.16
Hamilton,12/3/2015,279.59
Hardeman,12/3/2015,67.61
Hardin,12/3/2015,1182.45
Harris,12/3/2015,156969.18
Haskell,12/3/2015,99.30
Hays,12/3/2015,5968.20
Henderson,12/3/2015,1685.64
Hidalgo,12/3/2015,23672.31
Hill,12/3/2015,1188.34
Hood,12/3/2015,1838.74
Hopkins,12/3/2015,763.66
Houston,12/3/2015,483.45
Howard,12/3/2015,3742.89
Hudspeth,12/3/2015,327.92
Hunt,12/3/2015,3017.69
Irion,12/3/2015,71.84
Jack,12/3/2015,301.97
Jackson,12/3/2015,520.92
Jeff Davis,12/3/2015,225.07
Jim Hogg,12/3/2015,149.69
Jim Wells,12/3/2015,1177.90
Johnson,12/3/2015,5369.40
Jones,12/3/2015,910.29
Karnes,12/3/2015,480.79
Kaufman,12/3/2015,3793.27
Kendall,12/3/2015,1254.11
Kenedy,12/3/2015,11.38
Kent,12/3/2015,13.51
Kerr,12/3/2015,2308.69
Kimble,12/3/2015,202.64
King,12/3/2015,4.49
Kinney,12/3/2015,160.99
Kleberg,12/3/2015,916.92
Knox,12/3/2015,66.40
La Salle,12/3/2015,212.91
Lamar,12/3/2015,852.28
Lampasas,12/3/2015,920.31
Lavaca,12/3/2015,636.13
Lee,12/3/2015,540.04
Leon,12/3/2015,358.45
Liberty,12/3/2015,1660.67
Limestone,12/3/2015,802.18
Live Oak,12/3/2015,344.42
Llano,12/3/2015,890.85
Loving,12/3/2015,8.78
Lubbock,12/3/2015,5059.31
Lynn,12/3/2015,99.33
Madison,12/3/2015,294.67
Martin,12/3/2015,557.59
Mason,12/3/2015,185.89
Matagorda,12/3/2015,1290.68
Maverick,12/3/2015,1624.26
McCulloch,12/3/2015,374.37
McLennan,12/3/2015,8301.59
McMullen,12/3/2015,22.92
Medina,12/3/2015,1544.85
Menard,12/3/2015,98.01
Midland,12/3/2015,15913.72
Milam,12/3/2015,782.42
Mills,12/3/2015,166.05
Mitchell,12/3/2015,414.40
Montague,12/3/2015,334.13
Montgomery,12/3/2015,18340.88
Motley,12/3/2015,19.83
Nacogdoches,12/3/2015,1388.22
Navarro,12/3/2015,1643.53
Nolan,12/3/2015,689.16
Nueces,12/3/2015,10146.61
Oldham,12/3/2015,35.62
Palo Pinto,12/3/2015,958.12
Parker,12/3/2015,4200.02
Pecos,12/3/2015,1623.01
Polk,12/3/2015,979.58
Potter,12/3/2015,2093.21
Presidio,12/3/2015,712.41
Rains,12/3/2015,234.49
Reagan,12/3/2015,383.46
Real,12/3/2015,153.91
Red River,12/3/2015,214.21
Reeves,12/3/2015,1465.36
Refugio,12/3/2015,208.03
Robertson,12/3/2015,350.78
Rockwall,12/3/2015,2994.39
Runnels,12/3/2015,475.61
Rusk,12/3/2015,1146.36
San Jacinto,12/3/2015,576.08
San Patricio,12/3/2015,1906.01
San Saba,12/3/2015,256.70
Schleicher,12/3/2015,144.37
Scurry,12/3/2015,791.21
Shackelford,12/3/2015,113.99
Smith,12/3/2015,4652.34
Somervell,12/3/2015,296.47
Starr,12/3/2015,1793.21
Stephens,12/3/2015,320.72
Sterling,12/3/2015,61.14
Stonewall,12/3/2015,24.12
Sutton,12/3/2015,181.36
Swisher,12/3/2015,130.48
Tarrant,12/3/2015,66338.84
Taylor,12/3/2015,6170.67
Terrell,12/3/2015,94.65
Throckmorton,12/3/2015,54.84
Titus,12/3/2015,691.04
Tom Green,12/3/2015,5324.32
Travis,12/3/2015,37131.53
Trinity,12/3/2015,302.41
Tyler,12/3/2015,455.32
Upton,12/3/2015,352.73
Uvalde,12/3/2015,1238.15
Val Verde,12/3/2015,2236.18
Van Zandt,12/3/2015,1124.81
Victoria,12/3/2015,3219.04
Walker,12/3/2015,1483.65
Waller,12/3/2015,1654.73
Ward,12/3/2015,1187.16
Washington,12/3/2015,1110.84
Webb,12/3/2015,7595.91
Wharton,12/3/2015,1454.99
Wheeler,12/3/2015,98.34
Wichita,12/3/2015,2277.83
Wilbarger,12/3/2015,223.27
Willacy,12/3/2015,623.88
Williamson,12/3/2015,15781.35
Wilson,12/3/2015,1496.75
Winkler,12/3/2015,798.69
Wise,12/3/2015,2101.92
Wood,12/3/2015,910.99
Young,12/3/2015,625.76
Zapata,12/3/2015,407.89
Zavala,12/3/2015,349.41
Anderson,12/4/2015,1176.30
Andrews,12/4/2015,1808.84
Angelina,12/4/2015,1791.13
Aransas,12/4/2015,729.08
Archer,12/4/2015,147.76
Armstrong,12/4/2015,32.77
Atascosa,12/4/2015,1394.83
Austin,12/4/2015,917.54
Bandera,12/4/2015,658.42
Bastrop,12/4/2015,2460.33
Baylor,12/4/2015,60.24
Bee,12/4/2015,959.46
Bell,12/4/2015,10957.39
Bexar,12/4/2015,58487.78
Blanco,12/4/2015,340.75
Borden,12/4/2015,67.48
Bosque,12/4/2015,591.90
Bowie,12/4/2015,1564.16
Brazoria,12/4/2015,12289.60
Brazos,12/4/2015,4269.17
Brewster,12/4/2015,949.39
Briscoe,12/4/2015,25.78
Brooks,12/4/2015,210.05
Brown,12/4/2015,1253.52
Burleson,12/4/2015,543.73
Burnet,12/4/2015,1416.39
Caldwell,12/4/2015,1254.61
Calhoun,12/4/2015,792.25
Callahan,12/4/2015,598.33
Cameron,12/4/2015,12273.62
Carson,12/4/2015,100.84
Castro,12/4/2015,130.49
Chambers,12/4/2015,1386.42
Cherokee,12/4/2015,1039.01
Childress,12/4/2015,118.88
Clay,12/4/2015,173.90
Coke,12/4/2015,144.10
Coleman,12/4/2015,373.24
Collin,12/4/2015,29470.50
Collingsworth,12/4/2015,50.60
Colorado,12/4/2015,652.96
Comal,12/4/2015,3898.23
Comanche,12/4/2015,451.09
Concho,12/4/2015,179.33
Cooke,12/4/2015,649.97
Coryell,12/4/2015,2515.54
Cottle,12/4/2015,23.72
Crane,12/4/2015,512.34
Crockett,12/4/2015,394.55
Crosby,12/4/2015,98.93
Culberson,12/4/2015,234.51
Dallas,12/4/2015,83847.83
Dawson,12/4/2015,1384.01
DeWitt,12/4/2015,651.88
Deaf Smith,12/4/2015,321.93
Delta,12/4/2015,106.94
Denton,12/4/2015,25080.17
Dickens,12/4/2015,37.18
Dimmit,12/4/2015,323.74
Duval,12/4/2015,336.73
Eastland,12/4/2015,605.09
Ector,12/4/2015,15929.07
Edwards,12/4/2015,83.19
Ellis,12/4/2015,27747.56
Erath,12/4/2015,1336.54
Falls,12/4/2015,565.57
Fannin,12/4/2015,566.01
Fayette,12/4/2015,782.60
Fisher,12/4/2015,169.65
Floyd,12/4/2015,99.77
Foard,12/4/2015,21.37
Fort Bend,12/4/2015,24909.85
Franklin,12/4/2015,216.37
Freestone,12/4/2015,403.38
Frio,12/4/2015,541.03
Galveston,12/4/2015,11419.99
Garza,12/4/2015,107.91
Gillespie,12/4/2015,1129.94
Glasscock,12/4/2015,133.62
Goliad,12/4/2015,220.41
Gonzales,12/4/2015,644.85
Gray,12/4/2015,386.44
Grayson,12/4/2015,2071.59
Gregg,12/4/2015,2514.84
Grimes,12/4/2015,554.61
Guadalupe,12/4/2015,4640.59
Hale,12/4/2015,582.22
Hall,12/4/2015,52.76
Hamilton,12/4/2015,272.96
Hardeman,12/4/2015,65.85
Hardin,12/4/2015,1135.31
Harris,12/4/2015,161428.16
Haskell,12/4/2015,96.74
Hays,12/4/2015,5831.07
Henderson,12/4/2015,1618.45
Hidalgo,12/4/2015,24263.71
Hill,12/4/2015,1160.12
Hood,12/4/2015,1795.11
Hopkins,12/4/2015,733.21
Houston,12/4/2015,464.17
Howard,12/4/2015,3793.40
Hudspeth,12/4/2015,332.35
Hunt,12/4/2015,2946.01
Irion,12/4/2015,69.69
Jack,12/4/2015,294.78
Jackson,12/4/2015,535.71
Jeff Davis,12/4/2015,228.10
Jim Hogg,12/4/2015,153.43
Jim Wells,12/4/2015,1207.35
Johnson,12/4/2015,5241.84
